competitor_id,name,country,country_code,abbreviation
sr:competitor:312436,"Hudd, Emile",Great Britain,GBR,HUD
sr:competitor:126402,"Denolly, Corentin",France,FRA,DEN
sr:competitor:414501,"Houkes, Max",Netherlands,NLD,HOU
sr:competitor:165234,"Vasa, Eero",Finland,FIN,VAS
sr:competitor:145122,"Martineau, Matteo",France,FRA,MAR
sr:competitor:36300,"Travaglia, Stefano",Italy,ITA,TRA
sr:competitor:759758,"Sakellaridis, Dimitris",Greece,GRC,SAK
sr:competitor:797282,"Dumitru, Alexandru Cristian",Romania,ROU,DUM
sr:competitor:155860,"Lock, Courtney John",Zimbabwe,ZWE,LOC
sr:competitor:121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL
sr:competitor:373348,"Pucinelli de Almeida, Matheus",Brazil,BRA,PDA
sr:competitor:679481,"Hopper, James",Great Britain,GBR,HOP
sr:competitor:138528,"Mejia, Nicolas",Colombia,COL,MEJ
sr:competitor:840614,"Nagel, Arthur",France,FRA,NAG
sr:competitor:256481,"Marques, Diogo",Portugal,PRT,MAR
sr:competitor:65606,"Agamenone, Franco",Italy,ITA,AGA
sr:competitor:121248,"Roveri Sidney, Gabriel",Brazil,BRA,ROV
sr:competitor:866247,"Ratti, Lucio",Argentina,ARG,RAT
sr:competitor:635386,"Popovic, Stefan",Serbia,SRB,POP
sr:competitor:297608,"Hazawa, Shinji",Japan,JPN,HAZ
sr:competitor:161868,"Huertas Del Pino, Connor",Peru,PER,HUE
sr:competitor:54975,"Casanova, Hernan",Argentina,ARG,CAS
sr:competitor:418167,"Garcian, Axel",France,FRA,GAR
sr:competitor:515498,"Rodrigues, Natan",Brazil,BRA,ROD
sr:competitor:308834,"Schachter, Noah",USA,USA,SCH
sr:competitor:915153,"Dodig, Matej",Croatia,HRV,DOD
sr:competitor:130442,"Rai, Ajeet",New Zealand,NZL,RAI
sr:competitor:154740,"Delaney, Jesse",Australia,AUS,DEL
sr:competitor:403357,"Thayne, Wally",USA,USA,THA
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS
sr:competitor:431697,"Torres, Tiago",Portugal,PRT,TOR
sr:competitor:120956,"Alcantara, Francis Casey",Philippines,PHL,ALC
sr:competitor:908699,"Bilardo, Jacopo",Italy,ITA,BIL
sr:competitor:78387,"Hach Verdugo, Hans",Mexico,MEX,HAC
sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG
sr:competitor:620338,"Sharipov, Marat",Neutral,,SHA
sr:competitor:341188,"Justo, Guido Ivan",Argentina,ARG,JUS
sr:competitor:983047,"Carboni, Lorenzo",Italy,ITA,CAR
sr:competitor:681071,"Ganta, Sai Karteek Reddy",India,IND,GAN
sr:competitor:179294,"Opitz, Jannik",Germany,DEU,OPI
sr:competitor:385204,"Verbin, Pavel",Neutral,,VER
sr:competitor:42164,"Bangoura, Sekou",USA,USA,BAN
sr:competitor:376372,"Perez, Brandon",Venezuela,VEN,PER
sr:competitor:16852,"Uzhylovskyi, Volodoymyr",Ukraine,UKR,UZV
sr:competitor:645452,"Nesterov, Pyotr",Bulgaria,BGR,NES
sr:competitor:230152,"Zeuch, Tom",Germany,DEU,ZEU
sr:competitor:933891,"Hipfl, Nico",Austria,AUT,HIP
